X0(40) | 3 | '3.1.244.1' | [ 188032467820778000698737637/248832, 13951747491276218965479469/41472, 51218956560994249012422049/248832 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ 216971/768, 8387/128, 79631/768 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ 569109387339813739054103/389045294689821721632, 26883008139964636326959/64840882448303620272, -318866334048273606357205/389045294689821721632 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 27939036051809392698733733/12449449430074295092224, 4573730352440105631111485/12449449430074295092224, -4084966789333583050019831/12449449430074295092224 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 9307/6, 115/6, 2381/6 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ -429395957/2304, 1523313907/2304, 881459303/2304 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 11481505721245/7776, -41773740696875/7776, -19947375717151/7776 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ -337959755/12, 81936397/2, -174194639/12 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ -446580445042565640341/64925062108545024, 311476202902418906707/64925062108545024, 5236502997779760254279/64925062108545024 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ -703458739/6, 2511863813/6, 1410465811/6 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ -172668320814222643535/1889568, -2300625469705515047/314928, 73087884185189903101/1889568 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ 16332054839/13122, -13934498401/2187, 45029180699/13122 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 11481505721245/7776, -41773740696875/7776, -19947375717151/7776 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ 16419775373616545/26244, 995810549569805/26244, 4043635221207901/26244 ] | '3.1.283.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.244.1' | [ -22707109317189823237/267181325549568, -1642821254680515661/44530220924928, -6153012096767115841/267181325549568 ] | '3.1.244.1' | 'No' | 0 |[]
X0(40) | 3 | '3.1.283.1' | [ -703458739/6, 2511863813/6, 1410465811/6 ] | '3.1.283.1' | 'No' | 0 |[]
